Date,Open,High,Low,Close,Adj Close,Volume
2022-10-12,4.500000,4.650000,4.400000,4.450000,4.450000,18286472
2022-10-13,4.400000,4.500000,4.300000,4.400000,4.400000,8763504
2022-10-14,4.500000,4.550000,4.400000,4.400000,4.400000,7597380
2022-10-17,4.350000,4.500000,4.350000,4.400000,4.400000,10389821
2022-10-18,4.400000,4.500000,4.350000,4.400000,4.400000,6211624
2022-10-19,4.400000,4.450000,4.200000,4.200000,4.200000,12089114
2022-10-20,4.200000,4.250000,4.050000,4.150000,4.150000,13897650
2022-10-21,4.150000,4.350000,4.150000,4.250000,4.250000,9245707
2022-10-24,4.250000,4.300000,4.150000,4.200000,4.200000,5252592
2022-10-25,4.300000,4.400000,4.200000,4.350000,4.350000,9401266
2022-10-27,4.400000,4.450000,4.250000,4.300000,4.300000,6300113
2022-10-28,4.300000,4.350000,4.200000,4.200000,4.200000,4325553
2022-10-31,4.250000,4.300000,4.150000,4.200000,4.200000,5097189
2022-11-01,4.200000,4.250000,4.150000,4.200000,4.200000,5555616
2022-11-02,4.250000,4.250000,4.050000,4.100000,4.100000,7024445
2022-11-03,4.150000,4.200000,4.050000,4.100000,4.100000,6238750
2022-11-04,4.100000,4.200000,4.050000,4.100000,4.100000,14431316
2022-11-07,4.150000,4.300000,4.150000,4.300000,4.300000,23186057
2022-11-09,4.350000,4.350000,4.200000,4.250000,4.250000,8610846
2022-11-10,4.200000,4.300000,4.100000,4.150000,4.150000,14150810
2022-11-11,4.250000,4.250000,4.150000,4.200000,4.200000,4157289
2022-11-14,4.200000,4.250000,4.150000,4.150000,4.150000,5060701
2022-11-15,4.150000,4.250000,4.100000,4.150000,4.150000,7127802
2022-11-16,4.150000,4.250000,4.100000,4.100000,4.100000,8033212
2022-11-17,4.100000,4.150000,4.050000,4.100000,4.100000,4782793
2022-11-18,4.100000,4.100000,4.000000,4.050000,4.050000,8022607
2022-11-21,4.050000,4.100000,4.000000,4.050000,4.050000,3978789
2022-11-22,4.100000,4.200000,4.050000,4.150000,4.150000,10574767
2022-11-23,4.200000,4.250000,4.100000,4.150000,4.150000,4729001
2022-11-24,4.150000,4.200000,4.100000,4.150000,4.150000,3586848
2022-11-25,4.150000,4.250000,4.100000,4.150000,4.150000,11675096
2022-11-28,4.150000,4.250000,4.150000,4.200000,4.200000,11224826
2022-11-29,4.150000,4.300000,4.150000,4.200000,4.200000,11340781
2022-11-30,4.200000,4.250000,4.100000,4.150000,4.150000,7588721
2022-12-01,4.150000,4.350000,4.150000,4.300000,4.300000,21060679
2022-12-02,4.300000,4.450000,4.150000,4.450000,4.450000,22616169
2022-12-05,4.450000,4.500000,4.300000,4.350000,4.350000,7875383
2022-12-06,4.300000,4.500000,4.250000,4.350000,4.350000,9363535
2022-12-07,4.400000,4.450000,4.200000,4.250000,4.250000,9102965
2022-12-08,4.250000,4.300000,4.100000,4.200000,4.200000,12766452
2022-12-09,4.200000,4.200000,4.050000,4.100000,4.100000,9489066
2022-12-12,4.100000,4.200000,4.050000,4.150000,4.150000,16596508
2022-12-13,4.200000,4.250000,4.100000,4.150000,4.150000,6740674
2022-12-14,4.150000,4.350000,4.100000,4.300000,4.300000,22697151
2022-12-15,4.300000,4.350000,4.150000,4.200000,4.200000,9050802
2022-12-16,4.200000,4.250000,4.100000,4.150000,4.150000,9374753
2022-12-19,4.150000,4.300000,4.100000,4.250000,4.250000,14892463
2022-12-20,4.250000,4.400000,4.150000,4.150000,4.150000,8328665
2022-12-21,4.200000,4.250000,4.000000,4.050000,4.050000,10748708
2022-12-22,4.050000,4.100000,3.850000,3.900000,3.900000,16571898
2022-12-23,3.850000,3.950000,3.750000,3.850000,3.850000,17001321
2022-12-26,3.900000,4.000000,3.850000,3.950000,3.950000,20566957
2022-12-27,4.000000,4.000000,3.800000,3.900000,3.900000,10675547
2022-12-28,3.900000,4.000000,3.850000,3.950000,3.950000,5749792
2022-12-29,3.900000,4.000000,3.900000,3.950000,3.950000,3920604
2022-12-30,4.000000,4.050000,3.900000,3.950000,3.950000,4913494
2023-01-02,3.950000,4.100000,3.950000,4.000000,4.000000,7490023
2023-01-03,4.050000,4.100000,4.000000,4.000000,4.000000,2754706
2023-01-04,4.050000,4.100000,3.950000,4.000000,4.000000,5064893
2023-01-05,4.000000,4.000000,3.900000,4.000000,4.000000,4918454
2023-01-06,4.000000,4.050000,3.850000,3.900000,3.900000,9566681
2023-01-09,3.950000,4.000000,3.900000,3.950000,3.950000,3673427
2023-01-10,3.950000,4.000000,3.750000,3.850000,3.850000,8105268
